,id,totals,fluOf250d,fluOf120d,fluOf80d,fluOf10d,fluOf5d,incOf50,incOf120,incOf250,diffTohigh250,diffTohigh120,diffTohigh80,ma5,ma10,ma20,ma50,ma120,ma250,isHighOfHistory,isLowOfHistory,isHighOfYear,isLowOfyear
3339,6053359,58.566,38.482384823848236,34.01162790697674,27.243589743589748,5.100334448160545,5.100334448160545,-21.28987517337032,-29.590570719602983,-26.962676962676962,62.55506607929515,51.541850220264315,37.44493392070485,11.744000000000002,11.773999999999997,11.623000000000001,12.654400000000003,14.35175000000001,15.898159999999988,0.0,0.0,0.0,0.0
3340,6053360,58.617599999999996,38.482384823848236,34.01162790697674,26.868556701030926,5.100334448160545,4.781879194630875,-21.001390820584152,-29.57222566646001,-26.992287917737794,62.41197183098591,51.40845070422535,36.61971830985916,11.623999999999999,11.732999999999999,11.623,12.593200000000001,14.31208333333334,15.88143999999999,0.0,0.0,0.0,0.0
3341,6053361,59.1852,38.482384823848236,34.01162790697674,26.632191338073696,5.100334448160545,4.461279461279471,-20.622837370242205,-28.446662507797882,-24.489795918367342,60.85440278988664,49.95640802092414,34.873583260680036,11.534,11.703,11.6275,12.535000000000002,14.273250000000008,15.86507999999999,0.0,0.0,0.0,0.0
3342,6053362,60.372,38.482384823848236,34.01162790697674,26.346528228423104,5.100334448160545,2.9914529914529884,-19.80808773132283,-25.525143220878434,-23.778501628664497,57.6923076923077,47.00854700854701,31.709401709401718,11.498,11.684999999999999,11.640999999999998,12.480000000000002,14.237166666666672,15.85111999999999,0.0,0.0,0.0,0.0
3343,6053363,59.7012,38.482384823848236,34.01162790697674,26.346528228423104,5.100334448160545,2.9914529914529884,-19.090909090909093,-25.546975546975542,-25.975687779910427,59.46413137424372,48.66032843560932,33.18928262748487,11.489999999999998,11.665000000000001,11.646999999999998,12.419600000000003,14.202666666666671,15.83599999999999,0.0,0.0,0.0,0.0
3344,6053364,59.598000000000006,38.482384823848236,34.01162790697674,25.816993464052295,5.100334448160545,2.905982905982905,-16.786743515850144,-27.129337539432168,-26.479949077021004,59.740259740259724,48.9177489177489,32.467532467532465,11.530000000000001,11.637000000000002,11.653499999999998,12.364600000000001,14.169416666666672,15.81967999999999,0.0,0.0,0.0,0.0
3345,6053365,59.5464,38.482384823848236,34.01162790697674,25.768476128188354,4.781879194630875,1.9658119658119544,-12.575757575757576,-27.69423558897244,-29.933211900425015,59.8786828422877,49.04679376083189,32.49566724436742,11.566,11.595000000000002,11.660999999999996,12.3178,14.133500000000003,15.80299999999999,0.0,0.0,0.0,0.0
3346,6053366,59.7012,38.482384823848236,34.01162790697674,25.32894736842105,4.461279461279471,1.3675213675213687,-14.675516224188792,-30.25919228450874,-29.751062537947774,59.46413137424372,48.66032843560932,31.374243733794287,11.586,11.559999999999999,11.668499999999998,12.2852,14.096916666666669,15.783399999999993,0.0,0.0,0.0,0.0
3347,6053367,60.2172,38.482384823848236,34.01162790697674,24.333333333333336,2.9914529914529884,1.1139674378748996,-17.758985200845665,-30.161579892280077,-26.971214017521906,58.09768637532133,47.386461011139666,28.53470437017995,11.58,11.539,11.681,12.247399999999997,14.05591666666667,15.764199999999992,0.0,0.0,0.0,0.0
3348,6053368,60.5784,38.482384823848236,34.01162790697674,24.333333333333336,3.3219761499148257,1.7035775127768402,-13.165680473372776,-31.744186046511626,-27.216367017978914,57.15502555366269,46.50766609880749,27.76831345826235,11.614,11.551999999999998,11.683499999999999,12.1984,14.014500000000002,15.747239999999993,0.0,0.0,0.0,0.0
3349,6053369,61.3008,38.482384823848236,33.470105509964824,24.333333333333336,4.377104377104389,2.861952861952876,-12.06513693560325,-30.363423212192252,-25.047318611987375,55.30303030303029,43.602693602693584,26.262626262626256,11.680000000000001,11.604999999999999,11.689499999999997,12.1656,13.970166666666671,15.730239999999993,0.0,0.0,0.0,0.0
3350,6053370,62.797200000000004,38.482384823848236,32.60095011876485,24.333333333333336,5.751848808545598,4.930156121610515,-10.51470588235294,-27.731591448931113,-21.178756476683937,51.60230073952341,38.37304847986853,23.253903040262944,11.806000000000001,11.686,11.709499999999997,12.138799999999998,13.92941666666667,15.715519999999993,0.0,0.0,0.0,0.0
3351,6053371,61.3524,38.482384823848236,32.52080856123663,24.131016042780757,5.17666392769105,4.108463434675431,-11.86063750926612,-28.631452581032413,-23.290322580645157,55.17241379310344,41.46341463414634,25.820016820857866,11.870000000000001,11.727999999999998,11.715499999999997,12.104599999999998,13.888166666666674,15.70131999999999,0.0,0.0,0.0,0.0
3352,6053372,61.404,38.482384823848236,32.52080856123663,24.131016042780757,5.17666392769105,3.5332785538208684,-11.78650852483321,-29.25089179548157,-23.815620998719584,55.042016806722685,41.344537815126046,25.71428571428572,11.916,11.748000000000001,11.716499999999998,12.072799999999997,13.848500000000007,15.686919999999992,0.0,0.0,0.0,0.0
3353,6053373,61.146,38.482384823848236,31.79086538461539,23.8765928906774,5.17666392769105,2.6294165981922784,-11.102775693923483,-28.786057692307697,-28.528347406513866,55.69620253164557,40.42194092827005,25.822784810126585,11.937999999999999,11.776,11.720499999999998,12.04,13.80708333333334,15.67183999999999,0.0,0.0,0.0,0.0
3354,6053374,60.991200000000006,38.482384823848236,31.336963097398673,23.8765928906774,5.17666392769105,2.875924404272799,-12.379540400296515,-28.493647912885667,-29.348475791990435,56.09137055837562,39.84771573604062,26.14213197969543,11.926,11.803,11.719999999999999,12.0098,13.766916666666674,15.65279999999999,0.0,0.0,0.0,0.0
3355,6053375,60.2172,38.482384823848236,30.834856794637417,23.8765928906774,4.930156121610515,1.932773109243701,-12.584269662921347,-28.53643600734843,-30.823947836395977,58.09768637532133,40.616966580976865,27.76349614395887,11.826,11.816,11.705499999999999,11.9734,13.726416666666674,15.632559999999991,0.0,0.0,0.0,0.0
3356,6053376,58.9788,38.482384823848236,30.834856794637417,23.8765928906774,6.08052588331964,3.9495798319327786,-13.670694864048341,-30.347349177330894,-32.246591582691174,61.417322834645674,43.569553805774284,30.44619422572179,11.734,11.801999999999998,11.681,11.934999999999997,13.685583333333343,15.61079999999999,0.0,0.0,0.0,0.0
3357,6053377,59.2368,38.482384823848236,30.02466091245376,23.8765928906774,6.08052588331964,3.544303797468354,-12.633181126331811,-29.223181257706525,-30.29751062537947,60.7142857142857,41.28919860627176,29.878048780487802,11.65,11.783,11.660999999999998,11.899799999999997,13.644500000000011,15.589239999999991,0.0,0.0,0.0,0.0
3358,6053378,61.71360000000001,38.482384823848236,29.67781908302355,23.8765928906774,6.08052588331964,4.43143812709031,-9.803921568627443,-25.296689569019364,-28.97862232779097,54.26421404682272,34.949832775919724,24.665551839464875,11.672,11.804999999999998,11.678499999999998,11.8762,13.60900000000001,15.57119999999999,0.0,0.0,0.0,0.0
3359,6053379,61.455600000000004,38.482384823848236,29.67781908302355,23.8765928906774,6.08052588331964,4.43143812709031,-9.567198177676536,-26.20817843866171,-32.252559726962446,54.91183879093198,35.51637279596977,25.188916876574307,11.690000000000001,11.807999999999998,11.706499999999997,11.849200000000002,13.574833333333345,15.55147999999999,0.0,0.0,0.0,0.0
3360,6053380,62.5392,38.482384823848236,29.239401496259347,23.8765928906774,5.693069306930689,5.693069306930689,-4.86656200941916,-23.96486825595985,-31.058020477815695,52.22772277227723,32.34323432343235,23.01980198019803,11.78,11.803,11.744499999999999,11.828199999999999,13.541333333333343,15.529639999999988,0.0,0.0,0.0,0.0
3361,6053381,62.5392,38.482384823848236,29.239401496259347,23.8765928906774,5.693069306930689,5.280528052805271,-11.33869787856621,-22.802547770700638,-33.98692810457516,52.22772277227723,32.34323432343235,23.01980198019803,11.918,11.826000000000002,11.776999999999997,11.8158,13.509500000000006,15.507799999999989,0.0,0.0,0.0,0.0
3362,6053382,61.71360000000001,38.482384823848236,29.239401496259347,23.8765928906774,5.693069306930689,1.732673267326725,-5.379746835443036,-23.966942148760328,-34.75177304964538,54.26421404682272,34.11371237458192,24.665551839464875,12.014,11.832000000000003,11.790000000000001,11.781600000000003,13.478333333333342,15.48219999999999,0.0,0.0,0.0,0.0
